"program","year","week","site","depth","BT","weekly_mean_temp","dhw","annual_max"
"TCRMP",2012,36,"Great Pond",4,30,29.8551651785714,0,0
"TCRMP",2013,36,"Great Pond",4,30,29.0584479166667,0,0
"TCRMP",2014,36,"Great Pond",4,30,29.1257113095238,0,0
"TCRMP",2015,36,"Great Pond",4,30,29.7837142857143,0,0
"TCRMP",2017,36,"Great Pond",4,30,29.6009479166667,0,0
"TCRMP",2018,36,"Great Pond",4,30,29.2330982142857,0,0
"TCRMP",2008,37,"Great Pond",4,30,29.4521666666666,0,0
"TCRMP",2009,37,"Great Pond",4,30,29.4549255952381,0,0
"TCRMP",2010,37,"Great Pond",4,30,29.8125029761905,2.92595833333336,0
"TCRMP",2011,37,"Great Pond",4,30,29.3254642857143,0,0
"TCRMP",2012,37,"Great Pond",4,30,30.1214494047619,1.1214494047619,1
"TCRMP",2013,37,"Great Pond",4,30,29.27296875,0,0
"TCRMP",2014,37,"Great Pond",4,30,29.1452380952381,0,0
"TCRMP",2015,37,"Great Pond",4,30,29.5808541666667,0,0
"TCRMP",2017,37,"Great Pond",4,30,29.5709226190476,0,0
"TCRMP",2018,37,"Great Pond",4,30,29.180193452381,0,0
"TCRMP",2008,38,"Great Pond",4,30,29.7539166666667,0,0
"TCRMP",2009,38,"Great Pond",4,30,29.5431458333333,0,0
"TCRMP",2010,38,"Great Pond",4,30,29.4669226190476,2.92595833333336,0
"TCRMP",2011,38,"Great Pond",4,30,29.2538005952381,0,0
"TCRMP",2012,38,"Great Pond",4,30,29.8726726190476,1.1214494047619,0
"TCRMP",2013,38,"Great Pond",4,30,29.8380952380952,0,0
"TCRMP",2014,38,"Great Pond",4,30,29.3356651785714,0,0
"TCRMP",2015,38,"Great Pond",4,30,29.5412113095238,0,0
"TCRMP",2017,38,"Great Pond",4,30,28.5961473214286,0,0
"TCRMP",2018,38,"Great Pond",4,30,29.0498779761905,0,0
"TCRMP",2007,39,"Great Pond",4,30,29.4725364583333,0,0
"TCRMP",2008,39,"Great Pond",4,30,29.2012113095238,0,0
"TCRMP",2009,39,"Great Pond",4,30,29.7375982142857,0,0
"TCRMP",2010,39,"Great Pond",4,30,29.4396071428572,2.92595833333336,0
"TCRMP",2011,39,"Great Pond",4,30,29.8497366071429,0,0
"TCRMP",2012,39,"Great Pond",4,30,29.84040625,1.1214494047619,0
"TCRMP",2013,39,"Great Pond",4,30,30.1601071428572,1.16010714285716,0
"TCRMP",2014,39,"Great Pond",4,30,29.6098764880952,0,0
"TCRMP",2015,39,"Great Pond",4,30,30.2130505952381,1.21305059523809,0
"TCRMP",2017,39,"Great Pond",4,30,28.9331175595238,0,0
"TCRMP",2018,39,"Great Pond",4,30,28.9383348214286,0,0
"TCRMP",2007,40,"Great Pond",4,30,29.5488571428571,0,0
"TCRMP",2008,40,"Great Pond",4,30,29.2807291666667,0,0
"TCRMP",2009,40,"Great Pond",4,30,29.5900476190476,0,0
